HF_FNCLTY_MTRAL_RCOGN_NO,PRMS_DT,BSSH_NM,INDUTY_NM,ADDR,APLC_RAWMTRL_NM,FNCLTY_CN,DAY_INTK_CN,IFTKN_ATNT_MATR_CN
2011-21,20110909,(주)헤너스,수입식품등 수입ㆍ판매업,경기도 성남시 분당구,글로빈 가수분해물,식후 혈중 중성지질 개선에 도움을 줄 수 있음(기타기능Ⅱ),글로빈 가수분해물로서 1 g/일,"1) 영유아, 어린이, 임산부와 수유부는 섭취 시 주의
2) 높은 혈당 및 당뇨환자는 섭취 시 주의"
2009-87,20091207,(주)삼오제약,건강기능식품수입업,서울특별시 강남구,해태올리고펩타이드,“혈압조절에 도움을 줄 수 있음(기타기능II)”,해태올리고펩티드로서 1.6g,1) 해조식 섭취에 주의해야 하는 분은 섭취를 삼가시기 바랍니다.
2013-25,20130820,(주)뉴메드,수입식품등 수입ㆍ판매업,서울특별시 동대문구,가시오갈피 등 복합추출물,"관절 건강에 도움을 줄 수 있음
(생리활성기능 2등급)",가시오갈피 등 복합추출물 로서 1.5 g/일,"1) 임산부 및 수유부 여성은 섭취에 주의
2) 알레르기 및 특이체질, 질병치료 중인 사람은 섭취에 주의"
2014-45,20140912,(주)메디앤바이오,수입식품등 수입ㆍ판매업,경기도 평택시,L-arabinose,"설탕 소화흡수를 완만하게 하여 혈당조절에 
도움을 줄 수 있음
(생리활성기능 2등급)",신청원료로서 설탕 섭취량의 3% (L-arabinose를 포함하는 설탕으로서 6 g/일),"1) 과도한 설탕의 섭취는 건강에 해로울 수 있음
2) 본 원료를 과량으로 섭취하면 설사를 유발할 수 있음
3) 당뇨병 치료를 받으시는 분은 의사와 상담 후 본 원료를 섭취할 것을 권장함"
2008-9,20080214,(주)씨스팡,수입식품등 수입ㆍ판매업,서울특별시 구로구,칸탈로프멜론추출물,1)산화스트레스로부터 인체를 보호하는데 도움을 줄 수 있습니다(기타II) 2)혈관벽 두께 증가 억제를 통한 혈행개선에 도움을 줄 수 있습니다(기타II) 3) 자외선에 의한 피부홍반개선으로 피부건강에 도움을 줄수 있음(기타II),"500~1,00 IU/일 (SOD 활성으로서)",1) 밀 단백질에 알레르기를 나타내는 사람은 섭취에 주의
2012-12,20120326,(주)성균바이오텍,건강기능식품전문제조업,경기도 안산시 단원구,민들레 등 추출복합물,피부보습에 도움을 줄 수 있음(생리활성기능 2등급),민들레 등 추출복합물로서 750 mg/day,-
2012-23,20120917,(주)키토라이프,건강기능식품전문제조업,경기도 평택시,키토올리고당,"체지방 감소에 도움을 줄 수 있으나, 관련 인체적용시험이 미흡함(생리활성기능 3등급)",키토올리고당으로서 3g,1) 게 또는 새우에 알레르기가 있는 사람은 섭취에 주의
2012-27,20120928,(주)서흥캅셀,건강기능식품전문제조업,충청북도 청주시 흥덕구,로즈힙분말,관절 및 연골 건강에 도움을 줄 수 있음(생리활성기능 2등급),로즈힙분말로서 5g/일,"1) 알레르기 반응을 보이는 사람의 경우 섭취 전 성분 확인 필요함
2) 임산부, 수유부, 어린이의 섭취는 전문의와 상담 후 섭취를 권장함"
2013-4,20130306,한국인스팜주식회사,건강기능식품전문제조업,전남광주통합특별시 화순군,발효울금,"간 건강에 도움을 줄 수 있으나, 관련 인체적용시험이 미흡함(생리활성기능 3등급)",발효울금으로서 3g/일,"1) 어린이, 임산부 및 수유부는 섭취에 주의
2) 항응고제 복용시 섭취에 주의"
2013-6,20130417,(주)지에프퍼멘텍,건강기능식품전문제조업,세종특별자치시,나토균배양분말,혈행 개선에 도움을 줄 수 있음(생리활성기능 2등급),나토균배양분말로서 44~64 mg/일,"1) 대두에 알레르기를 나타내는 사람은 섭취에 주의
2) 임산부, 수유부 섭취에 주의
3) 의약품(혈액항응고제)복용 시 섭취에 주의
4) 수술 전, 후 섭취에 주의"
