HF_FNCLTY_MTRAL_RCOGN_NO,PRMS_DT,BSSH_NM,INDUTY_NM,ADDR,APLC_RAWMTRL_NM,FNCLTY_CN,DAY_INTK_CN,IFTKN_ATNT_MATR_CN
2006-11,20060712,와이에치푸드(주),건강기능식품수입업,서울특별시 강남구,식물스타놀에스테르,“식물스타놀 에스테르는 높은 혈중 콜레스테롤 수치 개선에 도움을 줄 수 있습니다(기타기능Ⅱ)”,“식물스타놀 에스테르” 로서 2.5？3.4 g/일,식물 스타놀 에스테르는 지용성 비타민의 흡수를 저해할 수 있습니다.
2006-15,20060817,(주)대덕약업,건강기능식품수입업,경기도 수원시 영통구,라피노스,"""장내 유익균의 증식과 유해균의 억제에 도움을 줄 수 있습니다."" “배변활동을 원활히 하는데 도움을 줄 수 있습니다.” (기타기능II)",.,제안된 섭취량보다 많은 양을 섭취할 때에는 설사를 유발할 수 있습니다.
2006-16,20060817,(주)메코,건강기능식품수입업,서울특별시 서초구,가쯔오부시 올리고 펩타이드,"""혈압이 걱정되시는 분에게 도움을 줄 수 있습니다."" (기타기능II)",(지표성분으로서 5 mg),"◆ 임산부, 수유부는 섭취를 삼가시기 바랍니다.
◆ 어린이, 노인, 신부전이 있는 사람, 혈압약을 복용하시는 분이 섭취 시에는 의사와 상담하셔야 합니다."
2006-18,20060817,카길트레이딩,건강기능식품수입업,서울특별시 강남구,글루코사민,"관절 및 연골의 구성성분
관절 및 연골을 튼튼히 하는데 도움
관절 및 연골건강에 도움",.,
2006-19,20060817,씨제이웰케어,수입식품등 수입ㆍ판매업,서울특별시 중구,카제인가수분해물,"""혈압이 걱정되시는 분에게 도움을 줄 수 있습니다."" (기타기능II)",.,"- 임산부, 수유부는 섭취를 삼가시기 바랍니다.
- 어린이, 노인, 신부전이 있는 사람, 혈압약    을 복용하시는 분이 섭취 시에는 의사와     상담하셔야 합니다."
2006-21,20060929,한국암웨이(주),건강기능식품수입업,서울특별시 강남구,Tonalin CLA FFA,"“공액리놀레산(Conjugated Linoleic Acid)는 과체중인 성인의 체지방 감소에 도움을 줄 수 있습니다.”

(과체중인 성인을 대상으로 한 인체시험에서 CLA를 섭취한 경우 체지방(fat mass)감소에 도움을 줄 수 있음이 많은 자료에서 확인되었으나 한국인을 대상으로 한 자료가 없었음. 따라서 반드시 ‘---에 도움을 줄 수 있습니다’의 형식으로 표시하여야 함.)","공액리놀레산(cis-9, trans-11 CLA, trans-10, cis-12 CLA, cis-9, cis-11 CLA, trans-9, trans-11 CLA 이성체의 합계 량) 으로","1. 위장장애가 발생할 수 있습니다.
2. 영유아, 임산부는 섭취를 삼가야 해야 합니다.
3. 식사조절, 운동을 병행하는 것이 바람직합니다."
2006-22,20060929,한국암웨이(주),건강기능식품수입업,서울특별시 강남구,Tonalin CLA TG(트리글리세라이드),"“공액리놀레산(Conjugated Linoleic Acid)는 과체중인 성인의 체지방 감소에 도움을 줄 수 있습니다.”

(과체중인 성인을 대상으로 한 인체시험에서 CLA를 섭취한 경우 체지방(fat mass)감소에 도움을 줄 수 있음이 많은 자료에서 확인되었으나 한국인을 대상으로 한 자료가 없었음. 따라서 반드시 ‘---에 도움을 줄 수 있습니다’의 형식으로 표시하여야 함.)","공액리놀레산(cis-9, trans-11 CLA, trans-10, cis-12 CLA, cis-9, cis-11 CLA, trans-9, trans-11 CLA 이성체의 합계량) 으로","1. 위장장애가 발생할 수 있습니다.
2. 영유아, 임산부는 섭취를 삼가야 해야 합니다.
3. 식사조절, 운동을 병행하는 것이 바람직합니다."
2009-43,20090429,씨제이제일제당(주),건강기능식품수입업,서울특별시 중구,히알우론산 HA-LF-P,“피부 보습에 도움을 줄 수 있습니다.”,히알우론산나트륨으로서 120~240mg,"1) 임산부와 수유기 여성은 섭취를 피하는 것이 좋습니다.                                                                                                                                                                    
2) 알레르기 및 특이체질, 질병치료 중인 사람은 섭취를 피하는 것이 좋습니다."
2014-39,20140819,(주)뉴트리,,경기도 성남시 중원구,닭가슴연골분말(UC-Ⅱ),관절건강에 도움을 줄 수 있음(생리활성기능 2등급),닭가슴연골분말로서 40  mg/일,"1) 임산부, 수유부는 섭취 시 의사와 상담
2) 복용중인 의약품이 있는 분은 섭취 시 의사와 상담"
2005-10,20050608,유한회사 사조씨피케이,수입식품등 수입ㆍ판매업,경기도 이천시,이소말토올리고당,"""장내 유익균의 증식과 유해균의 억제에 도움을 줄 수 있습니다."", ""배변활동을 원활히 하는데 도움을 줄 수 있습니다.""

◆ 인체시험에서 이소말토올리고당을 섭취할 경우 장내 유익균의 증식과 유해균을 억제하고, 배변활동을 원활히 하는데 도움을 줄 수 있음을 확인하였으나 자료의 수가 제한되어 있음. 따라서 반드시 ‘---에 도움을 줄 수 있습니다’의 형식으로 표시하여야 함.",이소말토올리고당으로서,과량으로 섭취 시에는 설사를 유발할 수 있습니다.
2005-16,20050804,(주)태성뉴트라테크,건강기능식품수입업,서울특별시 강남구,CALRINOL 공액리놀레산(지방산 형태),"“공액리놀레산(Conjugated Linoleic Acid)는 과체중인 성인의 체지방 감소에 도움을 줄 수 있습니다.”

(과체중인 성인을 대상으로 한 인체시험에서 CLA를 섭취한 경우 체지방(fat mass)감소에 도움을 줄 수 있음이 많은 자료에서 확인되었으나 한국인을 대상으로 한 자료가 없었음. 따라서 반드시 ‘---에 도움을 줄 수 있습니다’의 형식으로 표시하여야 함.)","공액리놀레산 (cis-9, trans-11 CLA, trans-10, cis-12 CLA, cis-9, cis-11 CLA, trans-9, trans-11 CLA)으로","1. 위장장애가 발생할 수 있습니다.
2. 영유아, 임산부는 섭취를 삼가야 해야 합니다.
3. 식사조절, 운동을 병행하는 것이 바람직합니다."
2005-17,20050804,(주)태성뉴트라테크,건강기능식품수입업,서울특별시 강남구,CALRINOL 공액리놀레산(트리글리세라이드 형태),"“공액리놀레산(Conjugated Linoleic Acid)는 과체중인 성인의 체지방 감소에 도움을 줄 수 있습니다.”

(과체중인 성인을 대상으로 한 인체시험에서 CLA를 섭취한 경우 체지방(fat mass)감소에 도움을 줄 수 있음이 많은 자료에서 확인되었으나 한국인을 대상으로 한 자료가 없었음. 따라서 반드시 ‘---에 도움을 줄 수 있습니다’의 형식으로 표시하여야 함.)","공액리놀레산 (cis-9, trans-11 CLA, trans-10, cis-12 CLA, cis-9, cis-11 CLA 및 trans-9, trans-11 CLA)으로","1. 위장장애가 발생할 수 있습니다.
2. 영유아, 임산부는 섭취를 삼가야 해야 합니다.
3. 식사조절, 운동을 병행하는 것이 바람직합니다."
2009-64,20090720,주식회사 오셔너스,건강기능식품수입업,서울특별시 서초구,가르시니아 캄보지아 껍질추출물,“탄수화물에서 지방으로의 합성을 억제하여 체지방 감소에 도움을 줍니다(기타기능Ⅰ)”,"총 (-)-HCA로서 750~2,800 mg/일",1) 임산부와 수유기 여성은 섭취를 피하는 것이 좋습니다.
2009-85,20091028,진용내츄럴,건강기능식품수입업,경기도 수원시 팔달구,쏘팔메토 열매 추출물,“전립선 건강의 유지에 도움을 줄 수 있습니다” (기타기능 II),쏘팔메토 열매추출물로서 320 mg,"1) 임산부, 수유여성은 섭취에 주의
2) 메스꺼움이나 설사 등 소화계통의 불편함을 유발할 수 있음"
2008-54,20081004,(주)지텍뉴트리언스,건강기능식품수입업,서울특별시 서초구,Rain Nutrience DistilPureTM MSM,관절건강에 도움이 될 수 있습니다(기타기능II),MSM로서 1.5~2.0g,본 제품은 관절건강에 도움을 줄 수 있으나 치료의 목적으로 사용될 수 없습니다.
2009-32,20090408,뉴트리펀코리아컨설팅,건강기능식품수입업,경기도 고양시 일산동구,가르시니아 캄보지아 추출물,“탄수화물에서 지방으로의 합성을 억제하여 체지방 감소에 도움을 줍니다”(기타기능 I),"총 (-)-HCA로서 750~2,800 mg/day",1) 임산부와 수유기 여성은 섭취를 피하는 것이 좋습니다.
2009-80,20091021,에이치씨엔,수입식품등 수입ㆍ판매업,경기도 성남시 분당구,자일로올리고당(xylooligosaccharide) 분말,"“장내 유익균 증식, 유해균 억제, 배변활동에 도움을 줄 수 있음”(기타기능II",자일로올리고당으로서 0.7~7.5g,1) 과량으로 섭취 시 설사를 유발할 수도 있습니다.
2009-78,20091015,(주)경희매니지먼트컴퍼니,건강기능식품수입업,서울특별시 동대문구,홍경천추출물 KH101,“스트레스로 인한 피로개선에 도움을 줄 수 있음”(기타기능II),홍경천추출물로서 200~600mg/day,"1) 영.유아, 임산부, 수유부는 섭취에 주의하시기 바랍니다. 
2) 알레르기 체질이거나 특정질환이 있는 분은 섭취 전 의사와 상담하시기 바랍니다."
2009-81,20091021,에이치씨엔,수입식품등 수입ㆍ판매업,경기도 성남시 분당구,자일로올리고당(xylooligosaccharide) 액상,"“장내 유익균 증식, 유해균 억제, 배변활동에 도움을 줄 수 있음”(기타기능II)",자일로올리고당으로서 0.7~7.5 g,1) 과량으로 섭취 시 설사를 유발할 수도 있습니다.
2009-82,20091019,주영엔에스(주),건강기능식품수입업,서울특별시 서초구,가르시니아 캄보지아 껍질추출물,“탄수화물에서 지방으로의 합성을 억제하여 체지방 감소에 도움을 줍니다”(기타기능 I),"총 (-)-HCA로서 750~2,800 mg/day",1) 임산부와 수유기 여성은 섭취를 피하는 것이 좋습니다.
2009-84,20091103,모네이쳐,건강기능식품수입업,경기도 부천시 원미구,파크랜 크랜베리 분말(PACranTM Whole Cranberry Powder),“요로의 유해균 흡착 억제로 요로건강에 도움을 줄 수 있음”(기타기능II),“파크랜 크랜베리 분말” 로서 500~1000 mg/일,"1) 와파린, 쿠마딘 등 항응고제, 오메프라졸 등의 위산분비 억제제와 함께 섭취하지 마십시오
2) 제안된 섭취량 이상 과잉 복용할 경우 설사가 있을 수 있으므로, 정해진 섭취량을 준수하여 주십시오"
2010-29,20100712,아사히고도(주)서울영업소,건강기능식품수입업,서울특별시 송파구,밀크씨슬추출물,“간 건강에 도움을 줄 수 있음” (기타기능II),Silymarin으로서 130mg,"1) 알레르기 반응이 나타나는 경우에는 섭취를 중단하십시오
2) 설사, 위통, 복부팽만 등의 위장관계 장애가 나타나는 경우에는 섭취를 주의 하십시오"
2014-22,20140522,(주)에이치엘사이언스,건강기능식품전문제조업,충청북도 충주시,석류효소처리추출물,"갱년기 여성의 건강에 도움을 줄 수 있음, 피부 보습에 도움을 줄 수 있음",석류농축액으로서 13.3 g/일,"1) 어린이, 임산부와 수유부는 섭취를 피하는 것이 좋습니다.
2) 에스트로겐 호르몬에 민감한 사람은 섭취에 주의하시기 바랍니다."
2013-30,20131017,(주)뉴트리,수입식품등 수입ㆍ판매업,서울특별시 송파구,저분자콜라겐펩타이드,,,
2014-19,20140514,(주)미래바이오텍,수입식품등 수입ㆍ판매업,경기도 포천시,감마리놀렌산함유유지,월경 전 변화에 의한 불편한 상태 개선에 도움을 줄 수 있음(생리활성기능 2등급),감마리놀렌산으로서 210 ～ 300 mg/일,-
2009-68,20090803,(주)대덕약업,건강기능식품수입업,경기도 수원시 팔달구,가르시니아 캄보지아 껍질추출물,“탄수화물에서 지방으로의 합성을 억제하여 체지방 감소에 도움을 줍니다”(기타기능 I),"총 (-)-HCA로서 750~2,800 mg/day",1) 임산부와 수유기 여성은 섭취를 피하는 것이 좋습니다.
2010-57,20101124,주영엔에스(주),건강기능식품수입업,서울특별시 서초구,은행잎추출물,1) 성인의 기억력 개선에 도움을 줄 수 있음 (기타기능II) 2) 혈행 개선에 도움을 줄 수 있음 (기타기능II),은행잎 추출물로서 120 mg/일,"1) 어린이, 임산부와 수유부는 섭취에 주의
2) 수술 전후에는 섭취에 주의 
3) 항응고제 복용시 섭취에 주의 
4) 질환자의 경우 섭취 전에 의사와 상담하시기 바람"
2007-8,20070130,파인생명공학,수입식품등 수입ㆍ판매업,경기도 광주시,솔잎 증류 농축액,"""건강한 혈당의 유지에 도움을 줄 수 있음"" (기타기능II)",.,"기관지 천식, 해소 기침이나 기도에 심한 염증이 있는 사람은 사용을 금하시기 바랍니다."
2007-11,20070223,한국암웨이(주),건강기능식품수입업,서울특별시 강남구,토치대두발효추출물,“‘토치대두발효추출물’은 발효시킨 콩을 추출한 것으로 당의 흡수를 억제하여 식후혈당을 건강하게 유지하는데 도움을 줄 수 있는 식품입니다.“(기타기능 II),.,
2005-3,20050211,(주)웰니스바나바,식품등 수입판매업,경기도 고양시 일산서구,바나바주정추출물,혈당 조절에 도움을 줄 수 있음(기타기능II),바나바주정추출물로서 50～100 mg/일,당뇨병의 치료 및 예방의 목적으로 사용될 수 없음
2010-33,20100706,(주)지엠피바이오,건강기능식품전문제조업,서울특별시 강남구,지각상엽추출혼합물,혈당 조절에 도움을 줄 수 있음 (기타기능II),지각상엽 추출 혼합물로서 2.8 g/일,1) 피부에 광과민성 반응이 나타나는 사람은 섭취에 주의
2014-31,20140717,주영엔에스(주),,서울특별시 송파구,그린커피빈추출물,"체지방 감소에 도움을 줄 수 있음
(생리활성기능 2등급)",그린커피빈추출물 로서 400 mg/일,"1) 임산부와 수유기 여성, 유아, 어린이는 섭취에 주의
2) 카페인이 함유되어 있어 초조감, 불면 등을 나타낼 수 있음"
2016-18,20160928,파이코일바이오텍코리아(주),건강기능식품전문제조업,충청남도 공주시,EPA 및 DHA 함유유지,건조한 눈을 개선하여 눈 건강에 도움을 줄 수 있음,EPA와 DHA의 합으로서 0.6~1 g/일,-
2014-41,20140828,아사히고도(주)서울영업소,건강기능식품수입업,서울특별시 성동구,EPA 및 DHA 함유 유지,"기억력 개선에 도움을 줄 수 있음
 (생리활성기능 2등급)",DHA와 EPA의 합으로서 0.9 ～ 2 g/일,「건강기능식품 기능성 원료 및 기준․규격  인정에 관한 규정」 제10조제2항에 따라 「건강기능식품의 기준 및 규격」에 고시 예정임
2013-26,20130827,(주)온사이언스,건강기능식품수입업,경기도 시흥시,도라지추출물,간 건강에 도움을 줄 수 있음(생리활성기능 2등급),도라지추출물로서 3 g/일,"1) 임산부, 수유부 섭취에 주의
2) 알레르기 체질이거나 특정질환이 있는 분은 의사와 상담 후 섭취"
2010-1,20100108,(주)레이델코리아,수입식품등 수입ㆍ판매업,서울특별시 서초구,비즈왁스알코올,1) 항산화에 도움을 줄 수 있음 2) 위점막을 보호하여 위건강에 도움을 줄 수 있음 3) 관절건강에 도움을 줄 수 있음,1) 항산화 : 비즈왁스알코올로서 50~100 mg/일 2) 위건강 : 비즈왁스알코올로서 100 mg/일 3) 관절건강 : 비즈왁스알코올로서 50~100 mg/일,"1) 어린이, 임산부 및 수유부는 섭취 시 주의하시기 바랍니다."
2008-18,20080328,한국암웨이(주),,서울특별시 강남구,토치대두발효추출물,"“콩발효추출물은 발효시킨 콩을 추출한 것으로 당의 흡수를 억제하여 식후혈당을 건강하게 유지하는데 도움을 줄 수 있는 식품입니다."" (기타기능 II)",900mg,-
2010-66,20101231,(주)주피터인터내셔널,건강기능식품수입업,서울특별시 서초구,은행잎추출물,"성인의 기억력 개선에 도움을 줄 수 있음 (기타기능II)
혈행 개선에 도움을 줄 수 있음 (기타기능II)",은행잎 추출물로서 120 mg/일,"① 어린이, 임산부와 수유부는 섭취에 주의하시기 
   바랍니다.
② 수술 전후에는 섭취에 주의하시기 바랍니다. 
③ 항응고제 복용시 섭취에 주의하시기 바랍니다. 
④ 질환자의 경우 섭취 전에 의사와 상담하여 주시기     바랍니다."
2004-2,20040702,다니스코뉴트리션앤드바이오싸이언스코리아 유한회사,수입식품등 수입ㆍ판매업,서울특별시 강남구,자일리톨,"◆ “충치발생위험감소”
◆ “자일리톨은 충치발생위험감소에 도움을 줍니다.”
◆ “자일리톨은 플라그 감소, 산생성 억제, 충치균 성장을 저해시켜 충치발생위험을 감소시킬 수 있습니다.”

  ※ 다수의 인체시험을 통하여 구강내의 플라그감소, 산생성억제, 충치균성장 억제의 기능으로 충치발생위험을 감소시킴이 확인되었음",자일리톨로서,"◆ 당류와 전분류의 함량이 높은 간식을 자주 섭취하면 충치발생위험이 높아집니다.
◆ 자일리톨을 일시에 40g 이상의 과량을 섭취할 경우에는 복부팽만감 등의 불쾌감을 느낄 수 있습니다."
2004-3,20040731,씨제이(주),건강기능식품수입업,서울특별시 중구,씨제이 테아닌등 복합추출물,"“기억력 개선에 도움을 줄 수도 있으나 아직은 과학적 근거가 부족합니다”

(동물시험을 통하여 기억력을 개선시키는 데 도움이 됨을 확인하였으나 인체시험에서는 확인되지 않았음)",.,"테아닌은 카페인과 길항작용이 있으므로 섭취시 카페인 함유음료(커피, 홍차, 녹차)의 섭취를 삼가하시기 바랍니다."
2004-7,20040903,씨제이웰케어,수입식품등 수입ㆍ판매업,서울특별시 중구,씨제이 히비스커스 등 복합추출물,"""OOO*은 체지방 감소에 도움을 줄 수 있습니다.""
◆ *OOO: ‘씨제이히비스커스복합추출물’이 섭취량 이상 함유된 제품명
◆ 인체시험에서 체지방 감소에 도움을 줄 수 있음을 확인하였으나 자료의 수가 제한되어 있음. 따라서 반드시 ‘---에 도움을 줄 수 있습니다’의 형식으로 표시하여야 함.",‘씨제이히비스커스등복합추출물’로서,체지방 감소는 반드시 식사조절과 운동이 병행되어야 효과적입니다.
2004-8,20041022,(주)씨스팡,건강기능식품벤처제조업,서울특별시 강남구,초록입홍합추출오일복합물,관절건강에 도움이 될 수 있습니다.,620mg,？ 혈전용해제를 복용하시는 분은 의사와 상담하여 주시기 바랍니다.
2009-34,20090408,(주)네이쳐팜,건강기능식품수입업,서울특별시 영등포구,가르시니아 캄보지아 껍질추출물 60HCA,“탄수화물에서 지방으로의 합성을 억제하여 체지방 감소에 도움을 줍니다”(기타기능 I),"총 (-)-HCA로서 750~2,800 mg/day",1) 임산부와 수유기 여성은 섭취를 피하는 것이 좋습니다.
2009-37,20090416,(주)삼오제약,건강기능식품수입업,서울특별시 강남구,밀크씨슬추출물,“간 건강에 도움을 줄 수 있으나 인체시험을 통한 확인이 필요함” (기타기능II),Silymarin으로서 130mg,"1) 알레르기 반응이 나타나는 경우에는 섭취를 중단하십시오
2) 설사, 위통, 복부팽만 등의 위장관계 장애가 나타나는 경우에는 섭취를 주의 하십시오"
2009-47,20090605,씨제이제일제당(주),,서울특별시 중구,콜레우스 포스콜리 추출물 Forslean,체지방 감소에 도움을 줄 수 있습니다(기타기능II),콜레우스 포스콜리 추출물로서 500mg/일,"1) 항응고제 또는 혈압조절제를 복용하시거나 혈압이 낮으신 분은 섭취에 주의
2) 임산부, 수유여성, 어린이는 섭취에 주의"
2009-56,20090605,(주)네이쳐팜,건강기능식품수입업,서울특별시 영등포구,가르시니아 캄보지아 껍질추출물 60HCA MP,“탄수화물에서 지방으로의 합성을 억제하여 체지방 감소에 도움을 줍니다”(기타기능 I),"총 (-)-HCA로서 750~2,800 mg/day",1) 임산부와 수유기 여성은 섭취를 피하는 것이 좋습니다.
2008-55,20081003,농업회사법인 주식회사 생명의나무,건강기능식품벤처제조업,경기도 수원시 권선구,헛개나무과병추출분말,"알콜성 손상으로부터 간을 보호하는데 도움을 줄 수 있음(생리활성기능 2등급), 운동능력 향상에 도움을 줄 수 있음(생리활성기능 2등급), 스트레스로 인한 피로 개선에 도움을 줄 수 있음(생리활성기능 2등급)",헛개나무 과병 추출 분말로서 2.460mg/일,-
2009-66,20090807,씨제이웰케어,수입식품등 수입ㆍ판매업,서울특별시 중구,쌀겨추출물,피부보습에 도움을 줄 수 있음(기타II),쌀겨추출물로서 10~34mg/일,1) 임산부와 수유기 여성은 섭취를 피하는 것이 좋습니다.
2008-3,20080111,씨제이제일제당(주),건강기능식품수입업,서울특별시 중구,가르시니아캄보지아껍질추출물 HCA-600-SXS,“탄수화물에서 지방으로의 합성을 억제하여 체지방 감소에 도움을 줍니다(기타Ⅰ)”,"총 (-)-HCA로서 750~2,800 mg/day",1) 임산부와 수유기 여성은 섭취를 피하는 것이 좋습니다.
2008-41,20080808,뉴트리펀코리아컨설팅,건강기능식품수입업,경기도 고양시 일산동구,쏘팔메토 열매 초임계추출물,“쏘팔메토 열매추출물은 전립선 건강의 유지에 도움을 줄 수 있습니다.”,쏘팔메토 열매추출물로서 320mg,"1) 임산부, 수유여성은 섭취에 주의
2) 매스꺼움이나 설사 등 소화계통의 불편함을 유발할 수 있음"
2008-44,20080826,한국암웨이(주),건강기능식품수입업,서울특별시 강남구,KANEKA Q10,"""코엔자임 Q10은 혈압이 높은 사람에게 도움을 줄 수 있습니다."" (기타기능II)",90~100mg,-
2010-45,20101026,아사히고도(주)서울영업소,건강기능식품수입업,서울특별시 송파구,Dimethylsulfone(MSM),관절 건강에 도움을 줄 수 있음(기타기능II),메틸설포닐메탄(Methylsulfonylmethane; MSM) 으로서 1.5～2.0 g/일,-
2010-7,20100209,롯데제과(주),건강기능식품수입업,경기도 화성시 만세구,Green Mate Extract EFLA® 920,“체지방 감소에 도움을 줄 수 있습니다”(기타기능II),Green Mate Extract EFLA? 920로서 3 g/일,"1) 어린이, 임산부 및 수유부는 섭취를 피할 것
2) 질환이 있거나 의약품 목용시 전문가와 상담할 것
3) 카페인을 함유한 식품의 섭취에 주의할 것
4) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것"
2015-17,20150430,(주)헬릭스미스,건강기능식품벤처제조업,서울특별시 강서구,천마 등 복합추출물(HX106),기억력 개선에 도움을 줄 수 있음(생리활성기능 2등급),천마 등 복합추출물(HX106)으로서 1.1 g/일,1) 임산부 및 수유부는 섭취에 주의
2015-24,20151104,(주)화인비에스,건강기능식품수입업,서울특별시 성동구,EPA 및 DHA 함유유지,건조한 눈을 개선하여 눈 건강에 도움을 줄 수 있음(생리활성기능 2등급),EPA와 DHA의 합으로서 0.6~1 g/일,-
2014-29,20140703,영암녹색무화과(주),수입식품등 수입ㆍ판매업,전남광주통합특별시 영암군,무화과페이스트,"배변활동 원활에 도움을 줄 수 있음
(생리활성기능 2등급)",신청원료로서 300 g/일,"1) 무화과에 알레르기를 나타내는 사람은 섭취에 주의
2) 과다 섭취 시 일시적인 복부팽만감을 느낄 수 있음"
2011-36,20111104,(주)대덕약업,건강기능식품일반판매업,경기도 안양시 동안구,홍경천추출물,“스트레스로 인한 피로개선에 도움을 줄 수 있음”(생리활성기능 2등급),홍경천추출물로서 200～600 mg,-
2014-3,20140129,서해수산,식품등 수입판매업,서울특별시 노원구,초록입홍합추출오일,"관절건강에 도움을 줄 수 있음
(생리활성기능 2등급)",초록입홍합추출오일로서 200 mg/일,혈전용해제를 복용하시는 분은 의사와 상담 후 섭취
2009-51,20090605,뉴트리펀코리아컨설팅,건강기능식품수입업,경기도 고양시 일산동구,루테인복합물VBAF,“루테인은 노화로 인해 감소될 수 있는 황반색소밀도를 유지시켜 주어 눈건강에 도움을 줍니다.(기타 I등급)”,루테인으로써 10~20mg,"1) 과다 섭취 시 일시적으로 피부가 황색으로 변할 수 있습니다.
2) 임산부는 섭취 전 의사와 상담이 필요합니다.-
3) 식품에 알레르기가 있으신 분은 섭취 전 포장에 표시된 원료 명칭을 확인하시기 바랍니다.
4) 병원에서 치료 중이신 분, 다른 약품을 섭취 중이신 분, 임산부, 수유부는 섭취 전 의사와 상담하시기 바랍니다."
2009-17,20090226,씨제이웰케어,수입식품등 수입ㆍ판매업,서울특별시 중구,보이차 추출물,“혈중 콜레스테롤 개선에 도움을 줄 수 있습니다.”(기타기능 II),보이차 추출물로서 1g,"1) 카페인이 함유되어 있어 초조감, 불면 등을 나타낼 수 있음
2) 임산부, 수유여성, 어린이, 알레르기성 질환보유자, 질병치료 중인 환자는 섭취에 주의"
2016-14,20160823,(주)나암에스앤에이치,건강기능식품수입업,서울특별시 마포구,EPA 및 DHA 함유유지,기억력 개선에 도움을 줄 수 있음,EPA와 DHA의 합으로서 0.9~2g/일,-
2010-40,20100830,(주)에이치엘사이언스,건강기능식품전문제조업,충청북도 충주시,석류효소처리추출물,갱년기 여성의 건강에 도움을 줄 수 있음(생리활성기능 2등급),석류농축액으로서 40 ml/일,"1) 어린이, 임산부와 수유부는 섭취를 피하는 것이 좋습니다.
2) 에스트로겐 호르몬에 민감한 사람은 섭취에 주의 하시기 바랍니다."
2016-9,20160615,(주)에프앤디넷,건강기능식품수입업,서울특별시 송파구,EPA 및 DHA 함유유지,기억력 개선에 도움을 줄 수 있음,EPA와 DHA의 합으로서 0.9~2g/일,-
2016-8,20160615,대상(주),건강기능식품수입업,서울특별시 동대문구,EPA 및 DHA 함유유지,건조한 눈을 개선하여 눈 건강에 도움을 줄 수 있음,EPA와 DHA의 합으로서 0.6~1 g/일,-
2014-7,20140219,주영엔에스(주),수입식품등 수입ㆍ판매업,서울특별시 송파구,보이차추출물,1) 체지방 감소에 도움을 줄 수 있음 2) 혈중 콜레스테롤 개선에 도움을 줄 수 있음,신청원료로서 1 g/일,"1) 카페인이 함유되어 있어 초조감, 불면 등을 나타 낼 수 있음
2) 임산부, 수유여성, 어린이, 질병치료 중인 환자는 섭취에 주의"
2008-6,20080205,(주)아모레퍼시픽,건강기능식품전문제조업,경기도 안성시,APIC 대두배아열수추출물등 복합물,체지방 감소에 도움을 줄 수 있음(생리활성기능 2등급),APIC 대두배아열수추출물로서 700mg/일,"1) 알르레기성 비염, 천식, 우유 알레르기 반응을 나타내는 사람은 섭취에 주의
2) 임산부, 수유기 여성 및 어린이는 섭취에 주의"
2016-3,20160226,주식회사 조향,건강기능식품수입업,서울특별시 서초구,EPA 및 DHA 함유유지,건조한 눈을 개선하여 눈 건강에 도움을 줄 수 있음.,EPA와 DHA의 합으로서 0.6~1 g/일,-
2008-7,20080205,대상주식회사,건강기능식품전문제조업,,L-글루타민,“과도한 운동 후의 L-글루타민 보충은 신체 저항능력 향상에 도움이 될 수 있습니다” (기타기능II),3~5g/일 (과도한 운동 직후 섭취),"1) Methotrexate, anticonvulsants, lactulose의 효과를 경감시킬 우려가 있음
2)  MSG에 민감한 사람은 섭취를 주의해야 함
3) 신장 및 간질환이 있는 환자는 섭취를 주의 해야 함
4) 임산부, 수유부는 의사의 처방 없이는 섭취를 삼가야 함"
2015-26,20151104,주영엔에스,건강기능식품수입업,,EPA 및 DHA 함유 유지,건조한 눈을 개선하여 눈 건강에 도움을 줄 수 있음(생리활성기능 2등급),EPA와 DHA의 합으로서 0.6~1 g/일,-
2012-22,20120910,한국암웨이(주),,서울특별시 강남구,마리골드 추출물(루테인 에스테르),노화로 인해 감소될 수 있는 황반색소밀도를 유지하여 눈 건강에 도움을 줄 수 있음(생리활성기능 2등급),루테인 에스테르로서 18.5~20 mg/일 (루테인으로서 10~10.8mg),1) 과다 섭취시 일시적으로 피부ㅏ 황색으로 변할 수 있음
2013-9,20130527,피엘토마스앤코 인크 한국지점,수입식품등 수입ㆍ판매업,경기도 화성시 동탄구,포도씨 추출물,,,
2009-49,20090605,(주)한국파마링크,수입식품등 수입ㆍ판매업,경기도 성남시 분당구,리프리놀-초록입홍합추출오일,“관절건강에 도움이 될 수 있음(기타기능II)”,리프리놀-초록입홍합추출오일로서 200mg,혈전용해제를 복용하시는 분은 의사와 상담하여 주시기 바랍니다.
2014-17,20140501,(주)코드바이오,수입식품등 수입ㆍ판매업,충청남도 천안시 서북구,로즈힙분말,"관절 및 연골 건강에 도움을 줄 수 있음
(생리활성기능 2등급)",로즈힙분말로서 5g/일,"(1) 알레르기 반응을 보이는 사람의 경우 섭취전 성분 확인 필요함
(2) 임산부, 수유부, 어린이의 섭취는 전문의와 상담 후 섭취를 권장함"
